id_collectivity,solution,relation_score
117,"Permettre plus d’ouverture à la concurrence sur les assureurs privés pour ne pas se retrouver
avec un monopole (SMACL/GROUPAMA c’est 90% des collectivités). Permettre le portage
de risque par des sociétés autres.
Autoriser et développer les collectivités d’un EPCI à se mutualiser pour créer un fond
d’autoassurance, et permettre la territorialisation des contrats d’assurance.
Dans le contexte actuel, interdire à un assureur, la SMACL à résilier des contrats sans lien
avec leur sinistralité. Cette rupture unilatérale d’un contrat sans explication motivée liée à
son exécution ne devrait pas être possible, sans avoir à engager un contentieux.
Dans le cadre d’un groupement de commande, permettre d’avoir des franchises et des taux
adaptés à la sinistralité des territoires avec une procédure permettant la négociation.
Faire le bilan de la souscription obligatoire des collectivités à un contrat de protection fonc-
tionnelle pour les élus, avec le coût réellement porté par les assureurs.
36",1.0
118,Une meilleure information sur nos droits.,9.0
119,,2.0
120,,3.0
121,,4.0
122,"Pour les biens de la commune, notre assureur ne veut plus nous assurer. Nous avons fait
appel à un courtier pour retrouver un autre assureur acceptant de nous assurer. Ne voulant
pas faire de l’auto assurance, nous avons accepter un contrat de la part d’un nouvel assureur
pour un montant multiplier par 4.",5.0
123,,8.0
124,,8.0
125,"Créer un poste de médiateur au sein des Préfecture pour surveiller les résiliation pour sinis-
tralité, parfois sans raison, de la part des assureurs. Créer un guichet unique au sein de la
préfecture pour désigner d’office un assureur lorsqu’un appel d’offre devient infructueux (sur
le modèle du droit au compte)",
126,"La non généralisation des causes d’indemnisation à l’ensemble d’un territoire. Exemple :
les innondations ne concernent pas toutes les communes du département et pourtant les
assurances se cachent derrière cet argument pour augmenter voire résiliser leur contrat.",5.0
127,"créer une obligation d’assurance pour les compagnies avec recours au médiateur qui verrait
son champ de compétences élargi au cas de forte hausse tarifaire et absence d’assurance , que
ce soit après résiliation ou appel d ’offres infructueux. et sortir les assurances de l’obligation
d’appel d’offres pour passer directement en consultation négociée ( plus de souplesse perme-
ttant de trouver un assureur ) en autorisant des contrats d’un an renouvelable tacitement
SANS limitation de durée ( recréer le lien historique de confiance réciproque)",2.0
128,avoir une garantie de l’état après inventaire par ses services,8.0
129,"Lors de la dernier appel d’offre lancé, un seul assureur a répondu....",7.0
130,". Pour que les assureurs ne se détournent pas des collectivités : prise en charge par l’Etat des
conséquences de leurs risques spécifiques (dégâts résultant d’émeutes, responsabilité civile
liée à des activités particulières comme les manifestations festives, etc. ) . Pour éviter
l’auto assurance contrainte pour certaines collectivités fragiles ou particulièrement exposées
aux risques météorologiques : imagination de solutions d’assurance mutualisées, de type
“groupement de commandes”, organisées par l’Etat, permettant de lisser les coûts et de se
trouver en position de force pour négocier avec les grands groupes. . Pour faire respecter les
marchés publics conclus, adapter pour les collectivités le code des assurances : interdiction
des augmentations de cotisations en cours de contrat au-delà de ce que prévoient les clauses
contractuelles de révision, interdiction des résiliations pour sinistre en cours de marché.
. Pour éviter les conséquences catastrophiques d’une auto-assurance subie (appel d’offres
40
infructueux...), aides d’Etat à la reconstruction ou au dédommagement des tiers en cas de
sinistre important non assuré.",5.0
131,"imposer une compagnie d’assurance
41",3.0
132,,9.0
133,"Nous concernant le principal problème que nous rencontrons sur le thème des assurances
porte sur la Responsabilité Civile. En effet nous sommes maîtres d’ouvrages des travaux que
nous réalisons pour les communes. Nous avons des réclamations et des sinistres consécutifs
à ces travaux. Or, les assureurs se désengagent de cette partie des contrats. Le lot RC n’a
reçu aucune offre lors du dernier marché. Nous avons dû solliciter notre assureur sortant,
la SMACL, qui a accepté, après une forte insistance de notre part, de nous remettre une
proposition mais à un prix exorbitant.",8.0
134,,10.0
135,,8.0
136,"Des échanges réguliers avec les assureurs pour limiter les refus d’assurance et les résiliations,
pour contenir les exclusions et les réserves formulées dans les contrats qui conduisent les
collectivités à s’auto-assurer et pour retrouver un équilibre dans les relations contractuelles
Unaccompagnementauxcollectivitésafindedévelopperdesactionsdepréventionaméliorant
lasinistralité, optimiserlagestiondesrisquesetassurerunegestionefficacedescontratsdont
les clauses manquent souvent de lisibilité dans un contexte assurantiel très tendu",7.0
137,,
138,"Assouplissement du code de la commande publique : introduire la possibilité de négocier en
marché assurance quelque soit le montant
Assouplissement des possibilités d’avenant en cours d’exécution en matière d’assurances
Imposer un délai de préavis supérieur à 9 mois en cas de résiliation sèche ce qui permettra
d’avoir le temps nécessaire pour réaliser un sourcing complet
Réduirelenombred’exclusionsparunecotisationpluséquilibrée: justerapportentrerisques
couverts et coût de la cotisation
Accompagner tout au long au de l’exécution du contrat les collectivités dans la mise à jour
de leur patrimoine immobilier (sur le modèle du RISK MANAGER). Les assureurs devraient
proposer des accompagnements dans la prévention et dans l’amélioration de l’existant pour
limiter le risque (gagnant/gagnant)",1.0
139,"Une assurance spécifique pour les collectivités gérée par un organisme d’Etat.
44",7.0
140,"mutualiser les cotisations d’assurance pour créer un établissement d’assurance géré par les
collectivités",3.0
141,Aucune idée,3.0
142,"Création d’un service d’État neutre qui puisse accompagner les collectivités sur le suivi,
la négociation, le renouvellement des contrats et touts autres rapports avec les assureurs.
Formation des élus.",8.0
143,,7.0
144,,8.0
145,Mutualiser avec d’autres communes ou ) l’échelle de l’EPCI,8.0
146,"RECOURIR A DES COURTIERS ils sont indépendants et sont en relation avec les compag-
nies ET LES GROSSISTES / LE SENAT DOIT SE RAPPROCHER DE la REFERENCE
SYNDICALE PLANETE CSCA",
147,"Mise en place d’un régime spécifique pour : - obliger les assureurs à garantir les risques des
collectivités - encadrer les décisions unilatérales des assureurs portant résiliation des contrats
- encadrer les abus des assureurs qui majorent unilatéralement les franchises (notre franchise
est passée de 300 € à 4000 € !!!)",3.0
148,,8.0
149,,8.0
150,,2.0
151,Une assurance gérée par l’état,2.0
152,??????,8.0
153,"Lequestionnaires’appuieessentiellementsurl’assurance“Dommagesauxbiens”maisconcer-
nant la ville de Lesparre Médoc, les problèmes rencontrés avec les compagnies d’assurance
s’appuient sur les risques Auto et Statutaires pour lesquels nous avons rencontré pour le
premier, une résiliation unilatérale de la part de la compagnie et une nouvelle proposition
passant de 20 000 € à 60 000 €. Concernant le second, situation similaire avec une résilia-
tionanticipéeducontratetunenouvellepropositionauxconditionsfinancièresinacceptables.
L’auto-assurance a été choisi quant à ses risques statutaires. Les “grands” groupes nationaux
d’assurance n’ont pas connaissance des territoires dont seul intérêt est le profit. Les agents
d’assurance locaux, représentant de ces compagnies, connaissent le territoire communal voire
intercommunal. Par ces savoirs, ils peuvent défendre au mieux les intérêts de la collectivité
et comprendre également nos exigences et problématiques. Avoir un interlocuteur direct et
privilégié est d’autant plus confortable que d’être orienter sur des plateformes téléphoniques
ou courriels.",7.0
154,,5.0
155,"Elue locale et départementale d’un groupe d’assurances mutualistes, je suis convaincue qu’il
faut travailler avec les Services de l’Etat et imaginer du moins pour les risques de vandalisme
du moins, de travailler avec l’Etat sur des modèles tels que ceux imaginés et en place pour
les catastrophes naturelles.
48",8.0
156,,8.0
157,"Moins de monopole de certains assureurs, une obligation des assureurs de couvrir certains
risques , des franchises adaptées au risque",6.0
158,,7.0
159,"Qu’une structure publique se crée, à l’instar de l’Agence France Locale (secteur bancaire),
qui assure les collectivités membres.",1.0
160,,10.0
161,Avoir un agent d’assurance local afin de pouvoir discuter en direct,5.0
162,,8.0
163,assurance mutualiste entre collectivités,5.0
164,"Maintenant et au regard des relevés de sinistres, nous évitons d’envoyer les constats (avec
un tiers) à notre assurance et essayons de régler le sinistre directement avec l’assureur du
tiers. cela évite que ce sinistre soit mentionné dans le relevé et nous pénalise financièrement
d’une année sur l’autre, surtout quand la commune n’est pas responsable. donc, il faudrait
revoir la prise en compte des sinistres dans les relevés d’information.",7.0
165,,8.0
166,"Sur le modèle de l’Agence France Locale pour les prêts, il pourrait être envisagé la création
d’unestructuremutualiséesimilairepourlescontratsd’assurance,aumoinssurlesdommages
aux biens.",5.0
167,,7.0
168,,8.0
169,,7.0
170,"Il faudrait adapter les montants des franchises aux types de biens, revoir les cotisations
lorsque l’on est propriétaire non occupant car l’assurance est fourni pas l’utilisateur du
bâtiment qu’il soit locataire ou lorsque c’est une mise à disposition.",3.0
171,,6.0
172,"Avoir plus de concurrence sur le marché de l’assurance aux collectivités alors que le marché
va dans le sens contraire et le nombre d’opérateurs intéressé se réduits. Attention au risque
de monopole !",4.0
173,"Un groupement de commandes à l’échelle du département.
52",5.0
174,,3.0
175,,
176,Service public de l’assurance,2.0
177,"Ne pas déclarer l’ensemble des sinistres pour ne pas aggraver la sinistralité. Protéger les
bâtiments (vidéoprotection par exemple).",8.0
178,,5.0
179,,7.0
180,,3.0
181,,7.0
182,,8.0
183,"une justice plus efficace et plus efficiente dans la punition des délits disposer d’un organisme
d’assurances “de France” comme la banque.",10.0
184,,8.0
185,"plusd’assureuràproposerleursservicesauxcollectivitésafindecréeruneconcurrence. Créer
un fond de garantie mutualisé pour les collectivités soutenu (mis en place) par l’état",5.0
186,,9.0
187,,5.0
188,Former et/ou spécialiser les agents territoriaux dans le domaine des assurances.,6.0
189,,9.0
190,Que l’État prenne le relais lors de catastrophes naturelles,8.0
191,Avoir un contrat national.,1.0
192,,8.0
193,,6.0
194,"Avoir une offre plus concurentielle L’auto-assurance jusqu’à un certain montant de dommage
(ou franchise importante)...",7.0
195,,10.0
196,,9.0
197,"Des contrats groupés (communautés de communes), un état des lieux et des formations.",7.0
198,"Le rôle d’un assureur est de mutualiser les risques sur l’ensemble du territoire, mais certaines
petites communes rurales sont tout de même moins affectés par certains risques (émeutes...)
58
etsemblepourtantsubitlesaugmentationsliéesaucontextenationale, ilseraitintéressantde
sectoriser quelque peu. De plus, les assureurs imposent les augmentations sans négociation
possible, avec la menace immédiate de résiliation.",8.0
199,"Disposer d’un état des lieux, par strate de collectivités identiques, des principaux risques
reconnus et pouvant faire l’objet de sinistre avec un coût moyen de prise en charge des
assurances.",7.0
200,"-Développement de l’auto-assurance avec de vrais moyens dédiés -Professionnalisation des
services : formations et connaissances renforcées en droit (droit de la responsabilité notam-
ment) et en droit des assurances pour une meilleure évaluation des risques et la construction
d’un programme d’assurance adapté. Enfin, une gestion des sinistres optimisée (rôle actif des
services dédiés dans l’instruction des sinistres) avec à la clé la maîtrise de la charge assureur
et de la fréquence des sinistres ce qui incite ce dernier à maintenir le contrat. -Management
des risques : connaissance des risques tant en ce qui concerne la couverture dommages aux
biens que responsabilité civile en vue de souscrire des couvertures adaptées avec un arbitrage
sur le rapport coût/garantie. -Développement des actions préventives en interne en vue de
minorer les risques sous différentes formes selon la police considérée.",7.0
201,,9.0
202,"faire intervenir des bureaux de conseils placé auprès des préfectures qui ajusteraient et né-
gocieraient pour le compte des collectivités les contrats d’assurance",5.0
203,"Contrats groupe par taille de commune, avec cahier des charges préalablement établi.",6.0
204,"Quelestarifsdesassurancessoientencadrés. Obligationdelapartd’unassureurderépondre
à un appel d’offre et qu’il explique pour quoi en cas de non réponse",8.0
205,"Sur les dommages aux biens dus à des émeutes: la solution de fond serait de réduire les
causes d’émeutes (sociales, éducatives, manque d’intégration), une solution annexe serait
d’imposer des sanctions plus dissuasives envers les personnes coupables de dégradations Sur
les dommages dus à des actes de petites délinquance (vols, dégradations): plus de présence
des forces de l’ordre en préventif et des sanctions plus dissuasives pour les auteurs Sur le
risque cyber: davantage de moyens à la lutte contre les cyber attaques de la part de l’Etat
Evènements climatiques: la seule solution de fond est d’essayer collectivement de combattre
le changement climatique",6.0
206,,8.0
207,Avoir une meilleure connaissance des contrats et de leurs couverture.,5.0
208,Mutualiser les contrats d’assurance à l’échelle intercommunale,4.0
209,,8.0
210,,7.0
211,,9.0
212,"Une assurance spéciale collectivités qui garantirait à minima les recours pouvant être faits
par des tiers
62",6.0
213,Système d assurance collectif adosse à la CDC..,3.0
214,,6.0
215,,8.0
216,,
217,,9.0
218,"- Faire évoluer les règles de la commande publique dans le cadre de la passation des contrats
d’assurances des collectivités territoriales et de leurs groupements en favorisant notamment
la négociation. Or en l’état actuel, nous sommes tenus de passer en appel d’offres pour re-
specterlesseuilsprévusparlaréglementation. Cettedernièreprocédureadeuxinconvénients
enferme les collectivités et les assureurs dans un formalisme très contraint.",8.0
219,"Uncontrôledel’étatsurlesindemnisationsetleursuivi. Notremairies’estenpartieeffondrée
en 2021, notre ancien assureur SMACL refuse de nous indemniser une partie du sinistre
et a résilié notre contrat suite à celui-ci. Nous sommes toujours en attente d’un autre
remboursement pour un autre sinistre avec ce même assureur.",8.0
220,Aucune idée,6.0
221,"plus d’assureurs sur le marché plus de souplesse entre le code des marchés publics et le code
des assurances
65",5.0
222,,3.0
223,"L’ensemble de commune devrait être classée par niveau de risque selon sa situation géo-
graphique, son nombre d’habitant, sa position rurale, péri-urbaine, urbaine, le nombre
d’agent, Ecole type et nombre, sa surface, ses infrastructures, sa surface de bâtiment créant
une cotisation de base qui serait coefficientée avec le taux de sinistralités de chaque collectiv-
ité. Chaque commune bénéficierait d’une couverture identique à un prix équivalent. Toutes
les communes identiques couvertes par le même groupe qui devrait être une assurance d’état
ou assimilée. .",8.0
224,"Selon la taille de la collectivité et le niveau de risque, il faut soit: - avoir un accompagnement
en amont pour la définition d’un CCTP bien adapté aux réalités de la collectivité et ses
besoins, avec le risque que certaines compagnies refusent d’y répondre, car trop contraignant
par rapport à leurs contrats types - avoir un accompagnement pour réaliser l’analyse des
offres afin de pouvoir retenir l’offre la mieux disante, et non la moins disante, c’est à dire
aveclemeilleurrationprix/couverturedurisqueprenantencomptelesfranchises,exclusionS
partielles... Plutôt que chaque collectivité prenne son AMO, une mutualisation d’un AMO,
pourrait s’envisager de préférence par l’AMF départementale, soit au niveau de l’EPCI pour
elle-mˆme et ses communes membres",8.0
225,Mise en place d’un opérateur public d’assurance,1.0
226,,9.0
227,Mise en place d’un service public de l’assurance minimum pour les collectivités,7.0
228,,9.0
229,,7.0
230,"Des contrats cadres négociés à de hauts niveaux de regroupement (cf contrats de fourniture
d’électricité)",5.0
231,,8.0
232,"Créer un assureur spécifique pour les collectivités ou encourager les assureurs travaillant
avec les collectivités publiques dont une partie du financement pourrait venir d’une taxe sur
les bénéfices des assureurs et réassureurs uniquement tournés vers le privé. Systématiser
la prise en charge par l’État des dégâts subis lors de manifestations publiques et émeutes
Revoir le cadre de la commande publique pour les assurances afin de permettre les échanges
et négociations",6.0
233,,5.0
234,,9.0
235,,8.0
236,,4.0
237,"Une loi qui impose aux assureur à faire une offre aux collectivités. Ensuite à charge des
collectivités de l’étudier et d’y donner ou non suite.",
238,"un fond commun alimenté et géré par les communes avec le soutien de l’état. pouvoir sortir
du système marché public pour négocier ses assurances sur la sinistralité
70",
239,"Uniformiser les contrats d’assurance pour les collectivités en fonction des risques spécifiques
de chaque territoire",6.0
240,,9.0
241,,8.0
242,,10.0
243,,8.0
244,,6.0
245,"Face à la sinistralité des activités du déchets, et au regard de la valeur patrimoniale en jeu,
l’augmentationdescoûtsassurantielneparaitpasaberrante. C’estlechangementbudgétaire
qui est difficilement soutenable : prime dommage aux biens passée de 20 000 € à près de
400 000 €... Nous n’avons pas eu de sinistre majeur à déplorer, mais on peut également
s’interroger sur les indemnités qui seraient réellement perçues dans un tel cas. Absence de
prise en compte des pertes d’exploitation. Une part d’auto-assurance par la constitution de
provision apparaît indispensable.
72",5.0
246,"crée une assurance entre collectivité
73",3.0
247,"Avoir une soutien qu’il soit logistique ou financier pour la recherche du meilleur contrat
adapté à la commune concernée.
74",6.0
248,"Que nous puissions avoir recours, dans nos collectivités, à un service hiérarchique supérieur
pour consultation.",1.0
249,,4.0
250,,8.0
251,"Avoir une assurance publique gérée par l’Etat, pour ne pas subir des augmentation de l’ordre
de 10% par an sans sinistralité dans notre commune par exemple.",9.0
252,,5.0
253,,7.0
254,"le système d’indemnisation et de compensation entre assureurs est trop complexe et opaque
pour nous permettre de nous prononcer sur cette question. manque de transparence entre
les différents acteurs.",9.0
255,,4.0
256,"action sur la prévention (maintenance, entretien, connaissance de tous les biens) adaptation
des biens aux risques (ex : candélabres, plantations d’arbres, structure de construction)
changement de la vision de la logique assurantiel : l’exposition au risque des collectivités
est spécifique. Il est presque certain compte tenu du patrimoine et de l’exposition (aléas
climatiquesetsociaux)mêmeavecdelaprévention. Lesmontantssontforcémentimportants.
Il vaudrait mieux négocier au cas par cas la couverture et la franchise par type de patrimoine
et non d’une manière identique pour l’ensemble du patrimoine (ex : distinguer le mobilier
urbain du bâtis, les équipements sportifs des salles associatives...).
77",7.0
257,"créeruneplateformed’assureurspécialisésavecdestéléconseillerspourguiderlescollectivités
lors des dépôts de dossier auprès de l’assureur que se soit dommages aux biens, véhicules
ect... Un dossier unique en ligne accessible par toutes les partie et ne pas devoir refournir
constamment les mêmes documents (assureur, mairie, experts voir le tiers concerné s’il y a
lieu) pour avoir un suivit de l’ensemble du dossier.",8.0
258,"Lesassurancesdevraitêtremutualiséesauniveaunationale. Ilnedevraityavoirqu’uneseule
compagnie d’assurance pour toutes les collectivités y compris l’état. Il faudrait un appel
d’offre national. Toutes les cotisations d’assurances seraient centralisées et les cotisations
évolueraient en fonction des risques globaux nationaux.",8.0
259,,10.0
260,,9.0
261,"1 - meilleure connaissance des risques par les élus (connaitre pour comprendre) 2 - réali-
sation du PCS par des personnes réellement compétentes (connaissance des collectivités et
de la gestion des risques) 3 - apprendre à dimensionner le niveau d’assurance adaptée à sa
collectivité (auto-assurance par exemple)",9.0
262,,10.0
263,,9.0
264,"Sanctionner réellement les tiers malveillants (mineurs par ex) dans les dégradations des
bâtiments ou espaces publics",2.0
265,,8.0
266,,8.0
267,,8.0
268,"Il faut un marché régional pour mettre en concurrence les assureurs et aussi il faut maitriser
81
les augmentations qui ne correspondent pas au résultat d’un marché. On doit pouvoir être
accompagné par l’assureur en cas de litige avec une garantie décennale. Ce qui est notre cas.",8.0
269,"Je me suis inscrite dans votre consultation mais je n’ai pas eu de problème particulier en
2023",10.0
270,,9.0
271,,10.0
272,,9.0
273,Avoir des assureurs agrées par l’État en cas de non réponse à un appel d’offre.,4.0
274,,9.0
275,"Très peu de compagnies d’assurances veulent ce déplacer en mairie pour faire une offre et
l’Expliquer",5.0
276,Nous n’avons pas de problème d’assurance à ce jour,8.0
277,,9.0
278,,9.0
279,"Remplir un cahier des charges précis qui permettrait à l’assureur de mesurer outre le risque
à assurer, les mesures de prévention susceptibles de minimiser le risque, tout en prévoyant
des franchises.",9.0
280,,9.0
281,,10.0
